rank,niche,city,opportunity_score,niche_score,city_score,est_monthly_rent_usd,avg_job_value_usd,best_lead_model
289,Concrete & Driveway,"Charlotte, NC",67.4,65.0,71.0,1950,4500,pay_per_lead
290,Concrete & Driveway,"Nashville, TN",67.4,65.0,71.0,1950,4500,pay_per_lead
291,Asphalt Paving & Sealcoat,"Tampa, FL",67.4,65.0,71.0,1950,5000,pay_per_lead
292,Asphalt Paving & Sealcoat,"Orlando, FL",67.4,65.0,71.0,1950,5000,pay_per_lead
293,Asphalt Paving & Sealcoat,"Charlotte, NC",67.4,65.0,71.0,1950,5000,pay_per_lead
294,Asphalt Paving & Sealcoat,"Nashville, TN",67.4,65.0,71.0,1950,5000,pay_per_lead
295,Concrete & Driveway,"San Antonio, TX",67.4,65.0,71.0,1900,4500,pay_per_lead
296,Asphalt Paving & Sealcoat,"San Antonio, TX",67.4,65.0,71.0,1900,5000,pay_per_lead
297,Fence Installation,"Houston, TX",67.4,65.0,71.0,1750,4000,flat_monthly
298,Fence Installation,"Tampa, FL",67.4,65.0,71.0,1700,4000,flat_monthly
299,Fence Installation,"Orlando, FL",67.4,65.0,71.0,1700,4000,flat_monthly
300,Fence Installation,"Charlotte, NC",67.4,65.0,71.0,1700,4000,flat_monthly
301,Fence Installation,"Nashville, TN",67.4,65.0,71.0,1700,4000,flat_monthly
302,Fence Installation,"San Antonio, TX",67.4,65.0,71.0,1650,4000,flat_monthly
303,Pest Control,"Houston, TX",67.4,65.0,71.0,1600,300,flat_or_revshare
304,Pest Control,"Tampa, FL",67.4,65.0,71.0,1550,300,flat_or_revshare
305,Pest Control,"Orlando, FL",67.4,65.0,71.0,1550,300,flat_or_revshare
306,Pest Control,"Charlotte, NC",67.4,65.0,71.0,1550,300,flat_or_revshare
307,Pest Control,"Nashville, TN",67.4,65.0,71.0,1550,300,flat_or_revshare
308,Pest Control,"San Antonio, TX",67.4,65.0,71.0,1500,300,flat_or_revshare
309,Solar Installation,"Austin, TX",67.3,62.5,74.5,3900,18000,pay_per_lead
310,Solar Installation,"Cape Coral-Fort Myers, FL",67.3,62.5,74.5,3700,18000,pay_per_lead
311,Solar Installation,"Greenville, SC",67.3,62.5,74.5,3650,18000,pay_per_lead
312,Artificial Turf Install,"Austin, TX",67.3,62.5,74.5,1750,7000,flat_monthly
313,Artificial Turf Install,"Cape Coral-Fort Myers, FL",67.3,62.5,74.5,1650,7000,flat_monthly
314,Artificial Turf Install,"Greenville, SC",67.3,62.5,74.5,1600,7000,flat_monthly
315,Epoxy Garage Flooring,"Austin, TX",67.3,62.5,74.5,1550,3000,flat_monthly
316,Epoxy Garage Flooring,"Cape Coral-Fort Myers, FL",67.3,62.5,74.5,1500,3000,flat_monthly
317,Epoxy Garage Flooring,"Greenville, SC",67.3,62.5,74.5,1450,3000,flat_monthly
318,Pressure Washing,"Austin, TX",67.3,62.5,74.5,1200,350,flat_monthly
319,Pressure Washing,"Greenville, SC",67.3,62.5,74.5,1100,350,flat_monthly
320,Pressure Washing,"Cape Coral-Fort Myers, FL",67.3,62.5,74.5,1100,350,flat_monthly
321,Solar Installation,"Phoenix, AZ",67.1,62.5,74.0,3900,18000,pay_per_lead
322,Artificial Turf Install,"Phoenix, AZ",67.1,62.5,74.0,1750,7000,flat_monthly
323,Epoxy Garage Flooring,"Phoenix, AZ",67.1,62.5,74.0,1550,3000,flat_monthly
324,Pressure Washing,"Phoenix, AZ",67.1,62.5,74.0,1200,350,flat_monthly
325,Solar Installation,"Dallas-Fort Worth, TX",66.9,62.5,73.5,4000,18000,pay_per_lead
326,Artificial Turf Install,"Dallas-Fort Worth, TX",66.9,62.5,73.5,1750,7000,flat_monthly
327,Epoxy Garage Flooring,"Dallas-Fort Worth, TX",66.9,62.5,73.5,1600,3000,flat_monthly
328,Pressure Washing,"Dallas-Fort Worth, TX",66.9,62.5,73.5,1200,350,flat_monthly
329,Bath & Kitchen Remodel,"Oklahoma City, OK",66.6,65.0,69.0,2900,15000,pay_per_lead
330,Concrete & Driveway,"Oklahoma City, OK",66.6,65.0,69.0,1850,4500,pay_per_lead
331,Asphalt Paving & Sealcoat,"Oklahoma City, OK",66.6,65.0,69.0,1850,5000,pay_per_lead
332,Fence Installation,"Oklahoma City, OK",66.6,65.0,69.0,1650,4000,flat_monthly
333,Pest Control,"Oklahoma City, OK",66.6,65.0,69.0,1500,300,flat_or_revshare
334,Solar Installation,"Huntsville, AL",66.5,62.5,72.5,3650,18000,pay_per_lead
335,Artificial Turf Install,"Huntsville, AL",66.5,62.5,72.5,1600,7000,flat_monthly
336,Epoxy Garage Flooring,"Huntsville, AL",66.5,62.5,72.5,1450,3000,flat_monthly
337,Pressure Washing,"Huntsville, AL",66.5,62.5,72.5,1100,350,flat_monthly
338,Solar Installation,"Charleston, SC",66.3,62.5,72.0,3700,18000,pay_per_lead
339,Solar Installation,"Colorado Springs, CO",66.3,62.5,72.0,3700,18000,pay_per_lead
340,Artificial Turf Install,"Charleston, SC",66.3,62.5,72.0,1650,7000,flat_monthly
341,Artificial Turf Install,"Colorado Springs, CO",66.3,62.5,72.0,1650,7000,flat_monthly
342,Epoxy Garage Flooring,"Charleston, SC",66.3,62.5,72.0,1500,3000,flat_monthly
343,Epoxy Garage Flooring,"Colorado Springs, CO",66.3,62.5,72.0,1500,3000,flat_monthly
344,Pressure Washing,"Charleston, SC",66.3,62.5,72.0,1100,350,flat_monthly
345,Pressure Washing,"Colorado Springs, CO",66.3,62.5,72.0,1100,350,flat_monthly
346,Bath & Kitchen Remodel,"Atlanta, GA",66.2,65.0,68.0,3100,15000,pay_per_lead
347,Bath & Kitchen Remodel,"Jacksonville, FL",66.2,65.0,68.0,2900,15000,pay_per_lead
348,Concrete & Driveway,"Atlanta, GA",66.2,65.0,68.0,1950,4500,pay_per_lead
349,Asphalt Paving & Sealcoat,"Atlanta, GA",66.2,65.0,68.0,1950,5000,pay_per_lead
350,Concrete & Driveway,"Jacksonville, FL",66.2,65.0,68.0,1850,4500,pay_per_lead
351,Asphalt Paving & Sealcoat,"Jacksonville, FL",66.2,65.0,68.0,1850,5000,pay_per_lead
352,Fence Installation,"Atlanta, GA",66.2,65.0,68.0,1750,4000,flat_monthly
353,Fence Installation,"Jacksonville, FL",66.2,65.0,68.0,1650,4000,flat_monthly
354,Pest Control,"Atlanta, GA",66.2,65.0,68.0,1550,300,flat_or_revshare
355,Pest Control,"Jacksonville, FL",66.2,65.0,68.0,1500,300,flat_or_revshare
356,Bath & Kitchen Remodel,"Las Vegas, NV",66.0,65.0,67.5,2950,15000,pay_per_lead
357,Concrete & Driveway,"Las Vegas, NV",66.0,65.0,67.5,1900,4500,pay_per_lead
358,Asphalt Paving & Sealcoat,"Las Vegas, NV",66.0,65.0,67.5,1900,5000,pay_per_lead
359,Fence Installation,"Las Vegas, NV",66.0,65.0,67.5,1650,4000,flat_monthly
360,Pest Control,"Las Vegas, NV",66.0,65.0,67.5,1500,300,flat_or_revshare
361,Solar Installation,"Houston, TX",65.9,62.5,71.0,4000,18000,pay_per_lead
362,Solar Installation,"Tampa, FL",65.9,62.5,71.0,3850,18000,pay_per_lead
363,Solar Installation,"Orlando, FL",65.9,62.5,71.0,3850,18000,pay_per_lead
364,Solar Installation,"Charlotte, NC",65.9,62.5,71.0,3850,18000,pay_per_lead
365,Solar Installation,"Nashville, TN",65.9,62.5,71.0,3850,18000,pay_per_lead
366,Solar Installation,"San Antonio, TX",65.9,62.5,71.0,3800,18000,pay_per_lead
367,Artificial Turf Install,"Houston, TX",65.9,62.5,71.0,1750,7000,flat_monthly
368,Artificial Turf Install,"Tampa, FL",65.9,62.5,71.0,1700,7000,flat_monthly
369,Artificial Turf Install,"Orlando, FL",65.9,62.5,71.0,1700,7000,flat_monthly
370,Artificial Turf Install,"Charlotte, NC",65.9,62.5,71.0,1700,7000,flat_monthly
371,Artificial Turf Install,"Nashville, TN",65.9,62.5,71.0,1700,7000,flat_monthly
372,Artificial Turf Install,"San Antonio, TX",65.9,62.5,71.0,1650,7000,flat_monthly
373,Epoxy Garage Flooring,"Houston, TX",65.9,62.5,71.0,1600,3000,flat_monthly
374,Epoxy Garage Flooring,"Tampa, FL",65.9,62.5,71.0,1550,3000,flat_monthly
375,Epoxy Garage Flooring,"Orlando, FL",65.9,62.5,71.0,1550,3000,flat_monthly
376,Epoxy Garage Flooring,"Charlotte, NC",65.9,62.5,71.0,1550,3000,flat_monthly
377,Epoxy Garage Flooring,"Nashville, TN",65.9,62.5,71.0,1550,3000,flat_monthly
378,Epoxy Garage Flooring,"San Antonio, TX",65.9,62.5,71.0,1500,3000,flat_monthly
379,Pressure Washing,"Houston, TX",65.9,62.5,71.0,1200,350,flat_monthly
380,Pressure Washing,"San Antonio, TX",65.9,62.5,71.0,1150,350,flat_monthly
381,Pressure Washing,"Tampa, FL",65.9,62.5,71.0,1150,350,flat_monthly
382,Pressure Washing,"Orlando, FL",65.9,62.5,71.0,1150,350,flat_monthly
383,Pressure Washing,"Charlotte, NC",65.9,62.5,71.0,1150,350,flat_monthly
384,Pressure Washing,"Nashville, TN",65.9,62.5,71.0,1150,350,flat_monthly
385,Solar Installation,"Oklahoma City, OK",65.1,62.5,69.0,3700,18000,pay_per_lead
386,Artificial Turf Install,"Oklahoma City, OK",65.1,62.5,69.0,1650,7000,flat_monthly
387,Epoxy Garage Flooring,"Oklahoma City, OK",65.1,62.5,69.0,1500,3000,flat_monthly
388,Pressure Washing,"Oklahoma City, OK",65.1,62.5,69.0,1100,350,flat_monthly
389,Solar Installation,"Atlanta, GA",64.7,62.5,68.0,3900,18000,pay_per_lead
390,Solar Installation,"Jacksonville, FL",64.7,62.5,68.0,3700,18000,pay_per_lead
391,Artificial Turf Install,"Atlanta, GA",64.7,62.5,68.0,1750,7000,flat_monthly
392,Artificial Turf Install,"Jacksonville, FL",64.7,62.5,68.0,1650,7000,flat_monthly
393,Epoxy Garage Flooring,"Atlanta, GA",64.7,62.5,68.0,1550,3000,flat_monthly
394,Epoxy Garage Flooring,"Jacksonville, FL",64.7,62.5,68.0,1500,3000,flat_monthly
395,Pressure Washing,"Atlanta, GA",64.7,62.5,68.0,1200,350,flat_monthly
396,Pressure Washing,"Jacksonville, FL",64.7,62.5,68.0,1100,350,flat_monthly
397,Solar Installation,"Las Vegas, NV",64.5,62.5,67.5,3800,18000,pay_per_lead
398,Artificial Turf Install,"Las Vegas, NV",64.5,62.5,67.5,1650,7000,flat_monthly
399,Epoxy Garage Flooring,"Las Vegas, NV",64.5,62.5,67.5,1500,3000,flat_monthly
400,Pressure Washing,"Las Vegas, NV",64.5,62.5,67.5,1150,350,flat_monthly
